PvP01_01_v1_612295_BBC:1-194,PvP01_01_v1_612295_BBC
PvP01_01_v1_778121_BBC:1-206,PvP01_01_v1_778121_BBC
PvP01_02_v1_149226:1-191,PvP01_02_v1_149226
PvP01_02_v1_156208:1-208,PvP01_02_v1_156208
PvP01_02_v1_158223:1-237,PvP01_02_v1_158223
PvP01_02_v1_527792_BBC:1-234,PvP01_02_v1_527792_BBC
PvP01_02_v1_688071:1-234,PvP01_02_v1_688071
PvP01_03_v1_239662_BBC:1-193,PvP01_03_v1_239662_BBC
PvP01_03_v1_574236_BBC:1-226,PvP01_03_v1_574236_BBC
PvP01_03_v1_595569_BBC:1-200,PvP01_03_v1_595569_BBC
PvP01_04_v1_367674_BBC:1-246,PvP01_04_v1_367674_BBC
PvP01_04_v1_495997:1-192,PvP01_04_v1_495997
PvP01_04_v1_619862:1-219,PvP01_04_v1_619862
PvP01_04_v1_785217:1-232,PvP01_04_v1_785217
PvP01_05_v1_163535_BBC:1-216,PvP01_05_v1_163535_BBC
PvP01_05_v1_1035739:1-215,PvP01_05_v1_1035739
PvP01_05_v1_1071228:1-196,PvP01_05_v1_1071228
PvP01_05_v1_1077530_32_35_43_DR:1-204,PvP01_05_v1_1077530_32_35_43_DR
PvP01_05_v1_1077711_DR:1-228,PvP01_05_v1_1077711_DR
PvP01_05_v1_1095502:1-190,PvP01_05_v1_1095502
PvP01_05_v1_1409127_BBC:1-195,PvP01_05_v1_1409127_BBC
PvP01_06_v1_76255_BBC:1-214,PvP01_06_v1_76255_BBC
PvP01_06_v1_602491_BBC:1-250,PvP01_06_v1_602491_BBC
PvP01_07_v1_497960:1-239,PvP01_07_v1_497960
PvP01_07_v1_625740_BBC:1-212,PvP01_07_v1_625740_BBC
PvP01_07_v1_697579:1-209,PvP01_07_v1_697579
PvP01_07_v1_1220072_BBC:1-217,PvP01_07_v1_1220072_BBC
PvP01_08_v1_173904_BBC:1-249,PvP01_08_v1_173904_BBC
PvP01_08_v1_577308_BBC:1-205,PvP01_08_v1_577308_BBC
PvP01_08_v1_1419576_BBC:1-221,PvP01_08_v1_1419576_BBC
PvP01_08_v1_1430726:1-190,PvP01_08_v1_1430726
PvP01_08_v1_1565446_BBC:1-200,PvP01_08_v1_1565446_BBC
PvP01_09_v1_644970:1-227,PvP01_09_v1_644970
PvP01_09_v1_846288_BBC:1-229,PvP01_09_v1_846288_BBC
PvP01_10_v1_151400_BBC:1-201,PvP01_10_v1_151400_BBC
PvP01_10_v1_279712:1-238,PvP01_10_v1_279712
PvP01_10_v1_285779:1-191,PvP01_10_v1_285779
PvP01_10_v1_291703:1-232,PvP01_10_v1_291703
PvP01_10_v1_313004:1-235,PvP01_10_v1_313004
PvP01_10_v1_319423_34:1-201,PvP01_10_v1_319423_34
PvP01_10_v1_320638:1-238,PvP01_10_v1_320638
PvP01_10_v1_322586:1-192,PvP01_10_v1_322586
PvP01_10_v1_480207_DR:1-231,PvP01_10_v1_480207_DR
PvP01_10_v1_808268:1-210,PvP01_10_v1_808268
PvP01_10_v1_865053_BBC:1-249,PvP01_10_v1_865053_BBC
PvP01_10_v1_1304923_BBC:1-213,PvP01_10_v1_1304923_BBC
PvP01_10_v1_1371780_BBC:1-191,PvP01_10_v1_1371780_BBC
PvP01_11_v1_108200_BBC:1-217,PvP01_11_v1_108200_BBC
PvP01_11_v1_256884_BBC:1-216,PvP01_11_v1_256884_BBC
PvP01_11_v1_643929_BBC:1-198,PvP01_11_v1_643929_BBC
PvP01_11_v1_666727_BBC:1-245,PvP01_11_v1_666727_BBC
PvP01_11_v1_747140_BBC:1-232,PvP01_11_v1_747140_BBC
PvP01_11_v1_1266859:1-246,PvP01_11_v1_1266859
PvP01_11_v1_1809904_BBC:1-216,PvP01_11_v1_1809904_BBC
PvP01_11_v1_1835972_BBC:1-192,PvP01_11_v1_1835972_BBC
PvP01_11_v1_1969060_BBC:1-202,PvP01_11_v1_1969060_BBC
PvP01_12_v1_682858:1-224,PvP01_12_v1_682858
PvP01_12_v1_1139454_BBC:1-245,PvP01_12_v1_1139454_BBC
PvP01_12_v1_1220748_BBC:1-195,PvP01_12_v1_1220748_BBC
PvP01_12_v1_2685195_BBC:1-210,PvP01_12_v1_2685195_BBC
PvP01_12_v1_2804497:1-196,PvP01_12_v1_2804497
PvP01_13_v1_88777:1-226,PvP01_13_v1_88777
PvP01_13_v1_340505:1-224,PvP01_13_v1_340505
PvP01_13_v1_507029_BBC:1-201,PvP01_13_v1_507029_BBC
PvP01_13_v1_811491:1-205,PvP01_13_v1_811491
PvP01_13_v1_836623:1-201,PvP01_13_v1_836623
PvP01_13_v1_841303:1-217,PvP01_13_v1_841303
PvP01_13_v1_842462:1-200,PvP01_13_v1_842462
PvP01_13_v1_851321_BBC:1-192,PvP01_13_v1_851321_BBC
PvP01_13_v1_1088863_BBC:1-226,PvP01_13_v1_1088863_BBC
PvP01_13_v1_1160640_BBC:1-209,PvP01_13_v1_1160640_BBC
PvP01_14_v1_439002_BBC:1-197,PvP01_14_v1_439002_BBC
PvP01_14_v1_855554_BBC:1-217,PvP01_14_v1_855554_BBC
PvP01_14_v1_1036358_BBC:1-214,PvP01_14_v1_1036358_BBC
PvP01_14_v1_1071214:1-190,PvP01_14_v1_1071214
PvP01_14_v1_1262911:1-211,PvP01_14_v1_1262911
PvP01_14_v1_1270401_DR:1-236,PvP01_14_v1_1270401_DR
PvP01_14_v1_1270911_DR:1-208,PvP01_14_v1_1270911_DR
PvP01_14_v1_1644904:1-191,PvP01_14_v1_1644904
PvP01_14_v1_1693277:1-249,PvP01_14_v1_1693277
PvP01_14_v1_2258311_BBC:1-201,PvP01_14_v1_2258311_BBC
PvP01_14_v1_2310569_BBC:1-210,PvP01_14_v1_2310569_BBC
PvP01_14_v1_2416891:1-209,PvP01_14_v1_2416891
PvP01_14_v1_2700117:1-193,PvP01_14_v1_2700117
PvP01_14_v1_2875771:1-200,PvP01_14_v1_2875771
PvP01_14_v1_2879231:1-199,PvP01_14_v1_2879231
PvP01_14_v1_2881282:1-231,PvP01_14_v1_2881282
PvP01_14_v1_2893027:1-190,PvP01_14_v1_2893027
