Pf3D7_07_v3:404352-404600,CRT_220
Pf3D7_07_v3:405189-405432,CRT_326
Pf3D7_07_v3:405753-405965,CRT_371
Pf3D7_07_v3:403483-403687,CRT_72_74_75_76
Pf3D7_04_v3:748109-748353,DHFR_16_51_59
Pf3D7_04_v3:748930-749122,DHFR_306
Pf3D7_08_v3:549596-549813,DHPS_436_437
Pf3D7_13_v3:1724912-1725156,K13_resistance_1
Pf3D7_13_v3:1725261-1725475,K13_resistance_3
Pf3D7_13_v3:1725566-1725814,K13_resistance_5
Pf3D7_05_v3:958072-958319,MDR1_86
Pf3D7_01_v3:145387-145591,Pf3D7_01_v3_145515_294I_A
Pf3D7_01_v3:180440-180684,Pf3D7_01_v3_180554_D714N
Pf3D7_01_v3:535181-535411,Pf3D7_01_v3_535211_2521F_A
Pf3D7_02_v3:469966-470211,Pf3D7_02_v3_470013_G75E_A
Pf3D7_02_v3:714250-714539,Pf3D7_02_v3_714480_D258G
Pf3D7_03_v3:155594-155814,Pf3D7_03_v3_155697_150P_B
Pf3D7_03_v3:656714-656947,Pf3D7_03_v3_656861_129V_A
Pf3D7_04_v3:1037508-1037732,Pf3D7_04_v3_1037656_2776I
Pf3D7_04_v3:138886-139078,Pf3D7_04_v3_139051_K438N_A
Pf3D7_04_v3:426254-426467,Pf3D7_04_v3_426436_D560A
Pf3D7_04_v3:531008-531246,Pf3D7_04_v3_531138_A992E_A
Pf3D7_04_v3:881414-881613,Pf3D7_04_v3_881571_1081R_A
Pf3D7_05_v3:1204128-1204355,Pf3D7_05_v3_1204155_1338I_A
Pf3D7_05_v3:172696-172943,Pf3D7_05_v3_172801_E218K_A
Pf3D7_05_v3:369686-369885,Pf3D7_05_v3_369740_907L_A
Pf3D7_06_v3:1289144-1289339,Pf3D7_06_v3_1289212_125T_A
Pf3D7_06_v3:900091-900314,Pf3D7_06_v3_900278_P696S_A
Pf3D7_07_v3:1066617-1066821,Pf3D7_07_v3_1066698_G483S_A
Pf3D7_07_v3:1256304-1256505,Pf3D7_07_v3_1256331_L321F_A
Pf3D7_07_v3:1358813-1359052,Pf3D7_07_v3_1358910
Pf3D7_07_v3:619931-620131,Pf3D7_07_v3_619957_675R_A
Pf3D7_07_v3:704324-704514,Pf3D7_07_v3_704373_389E
Pf3D7_08_v3:1056669-1056900,Pf3D7_08_v3_1056829_L474I_A
Pf3D7_08_v3:1314801-1315026,Pf3D7_08_v3_1314831_1342K_A
Pf3D7_08_v3:149855-150098,Pf3D7_08_v3_150033_1315I_A
Pf3D7_08_v3:399752-399946,Pf3D7_08_v3_399774_421K_A
Pf3D7_08_v3:417190-417387,Pf3D7_08_v3_417335_R244K_A
Pf3D7_08_v3:549888-550090,Pf3D7_08_v3_549993
Pf3D7_09_v3:452537-452737,Pf3D7_09_v3_452690_1018I
Pf3D7_09_v3:900133-900331,Pf3D7_09_v3_900277_1534E_A
Pf3D7_10_v3:1383728-1383968,Pf3D7_10_v3_1383789_N114H
Pf3D7_10_v3:1386709-1386898,Pf3D7_10_v3_1386850_927K_A
Pf3D7_10_v3:361535-361724,Pf3D7_10_v3_361684
Pf3D7_11_v3:1006871-1007111,Pf3D7_11_v3_1006911_D124E_B
Pf3D7_11_v3:1020290-1020517,Pf3D7_11_v3_1020397_G700E_A
Pf3D7_11_v3:1295046-1295266,Pf3D7_11_v3_1295068_E405K
Pf3D7_11_v3:1815250-1815497,Pf3D7_11_v3_1815412_E765Q
Pf3D7_11_v3:1934907-1935103,Pf3D7_11_v3_1935031_I139L
Pf3D7_11_v3:477756-477946,Pf3D7_11_v3_477922_H147Y_A
Pf3D7_12_v3:1667524-1667733,Pf3D7_12_v3_1667593_2381N_A
Pf3D7_12_v3:2171806-2172013,Pf3D7_12_v3_2171901_V140D_A
Pf3D7_12_v3:858337-858531,Pf3D7_12_v3_858501_Q469K
Pf3D7_12_v3:974576-974777,Pf3D7_12_v3_974663
Pf3D7_13_v3:1056417-1056637,Pf3D7_13_v3_1056452_1234D
Pf3D7_13_v3:1419318-1419558,Pf3D7_13_v3_1419519
Pf3D7_13_v3:1867434-1867662,Pf3D7_13_v3_1867630_M4911I
Pf3D7_13_v3:2377741-2377941,Pf3D7_13_v3_2377887_2002S_A
Pf3D7_13_v3:2573706-2573930,Pf3D7_13_v3_2573828_I1153M
Pf3D7_13_v3:388201-388395,Pf3D7_13_v3_388365_S1236R
Pf3D7_14_v3:137432-137677,Pf3D7_14_v3_137622_1179V_A
Pf3D7_14_v3:1757515-1757762,Pf3D7_14_v3_1757603_D1365G
Pf3D7_14_v3:2164054-2164287,Pf3D7_14_v3_2164225_2830S_B
Pf3D7_14_v3:2733565-2733804,Pf3D7_14_v3_2733656_557C_A
Pf3D7_14_v3:3126026-3126257,Pf3D7_14_v3_3126219
Pf3D7_14_v3:2480905-2481117,Pf_PF3D7_1460900-1_Pf3D7_14
Pf3D7_14_v3:294289-294548,PlasII_ref
Pf3D7_14_v3:283895-284154,PlasIV_ref
